EmployeeNumber,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany
318,52,Yes,Research & Development,8,Master,Medical,High,Medium,Married,4941,2,Good,8
319,27,No,Research & Development,5,Bachelor,Life Sciences,High,Medium,Single,2478,1,Good,4
320,32,No,Sales,8,College,Technical Degree,High,Medium,Married,5228,1,Better,13
321,27,No,Sales,2,Bachelor,Life Sciences,Very High,High,Single,4478,1,Better,5
322,31,No,Sales,7,Bachelor,Marketing,Very High,Very High,Divorced,7547,4,Better,7
323,32,No,Research & Development,2,Master,Medical,Low,Very High,Single,5055,7,Good,7
324,28,Yes,Research & Development,2,Master,Medical,Low,Very High,Married,3464,5,Good,3
325,30,No,Research & Development,28,College,Medical,Very High,Very High,Married,5775,1,Better,10
326,31,No,Research & Development,7,College,Life Sciences,High,High,Married,8943,1,Better,10
327,39,No,Research & Development,7,College,Medical,High,Very High,Married,19272,1,Better,21
328,39,Yes,Sales,3,College,Medical,Very High,High,Married,5238,4,Good,1
329,33,No,Sales,10,Bachelor,Marketing,Medium,Very High,Single,4682,3,Good,7
330,47,No,Research & Development,5,Doctor,Life Sciences,Very High,High,Married,18300,4,Better,3
331,43,No,Research & Development,10,Master,Life Sciences,High,High,Divorced,5257,1,Best,9
332,27,No,Sales,1,Below College,Marketing,High,Medium,Married,6349,0,Better,5
333,54,No,Research & Development,20,Master,Life Sciences,Very High,High,Single,4869,3,Good,4
334,43,No,Research & Development,7,Bachelor,Life Sciences,High,Low,Married,9985,8,Good,1
335,45,No,Research & Development,8,Master,Other,Very High,Very High,Married,3697,9,Better,10
336,40,No,Sales,1,College,Medical,Medium,Very High,Married,7457,2,Good,4
337,29,Yes,Research & Development,8,Master,Other,Medium,Low,Married,2119,1,Good,7
338,29,No,Research & Development,9,Doctor,Other,Medium,Very High,Single,3983,0,Better,3
339,30,No,Sales,5,Bachelor,Marketing,Very High,High,Divorced,6118,1,Better,10
340,27,No,Sales,8,Master,Marketing,Medium,Medium,Married,6214,1,Better,8
341,37,No,Research & Development,5,College,Medical,Very High,Very High,Divorced,6347,7,Good,6
342,38,No,Research & Development,15,College,Life Sciences,High,Very High,Divorced,11510,0,Better,11
343,31,No,Research & Development,7,Master,Medical,High,Very High,Single,7143,1,Good,11
344,29,No,Sales,10,Below College,Marketing,Very High,Medium,Divorced,8268,1,Better,7
345,35,No,Research & Development,5,Master,Technical Degree,High,Medium,Single,8095,0,Better,16
346,23,No,Research & Development,26,Below College,Life Sciences,High,Very High,Divorced,2904,1,Good,4
347,41,No,Research & Development,6,Bachelor,Medical,Very High,Medium,Single,6032,6,Better,5
348,47,No,Sales,4,Below College,Medical,Medium,High,Single,2976,3,Better,0
349,42,No,Research & Development,23,Doctor,Life Sciences,Low,Very High,Single,15992,2,Better,1
350,29,No,Sales,2,Bachelor,Life Sciences,Very High,High,Married,4649,1,Good,4
351,42,No,Human Resources,2,Below College,Technical Degree,High,High,Divorced,2696,0,Better,3
352,32,No,Research & Development,2,Bachelor,Medical,High,Medium,Married,2370,1,Better,8
353,48,No,Sales,29,Below College,Medical,Low,High,Married,12504,3,Bad,0
354,37,No,Research & Development,6,Bachelor,Medical,High,Low,Divorced,5974,4,Better,7
355,30,No,Sales,25,College,Technical Degree,Very High,High,Married,4736,7,Best,2
356,26,No,Sales,1,Bachelor,Life Sciences,High,High,Married,5296,1,Better,8
357,42,No,Research & Development,2,Master,Other,Low,Very High,Single,6781,3,Better,1
358,21,Yes,Sales,1,Below College,Technical Degree,Low,Medium,Single,2174,1,Better,3
359,36,No,Sales,1,Doctor,Medical,Very High,Very High,Single,6653,4,Better,1
360,36,No,Sales,3,Master,Medical,Low,Very High,Married,9699,4,Better,13
361,57,No,Research & Development,1,Master,Medical,Very High,High,Married,6755,2,Better,3
362,40,No,Research & Development,10,Master,Life Sciences,Very High,High,Married,2213,3,Better,7
363,21,No,Sales,9,College,Medical,Low,Very High,Single,2610,1,Good,3
364,33,Yes,Sales,5,Bachelor,Marketing,Very High,High,Single,2851,1,Better,1
365,37,No,Research & Development,10,Bachelor,Medical,High,Low,Married,3452,6,Better,5
366,46,No,Research & Development,7,Master,Medical,High,High,Married,5258,2,Best,1
367,41,Yes,Sales,4,Bachelor,Marketing,Low,Medium,Single,9355,1,Better,8
368,50,No,Research & Development,10,Bachelor,Technical Degree,Very High,Very High,Single,10496,6,Better,4
369,40,Yes,Sales,22,College,Marketing,High,High,Married,6380,2,Better,6
370,31,No,Research & Development,9,Master,Life Sciences,High,Medium,Single,2657,0,Better,2
371,21,Yes,Sales,12,Bachelor,Life Sciences,High,Medium,Single,2716,1,Better,1
372,29,No,Research & Development,23,Bachelor,Life Sciences,Very High,Very High,Single,2201,9,Better,3
373,35,No,Research & Development,9,Master,Life Sciences,High,Medium,Single,6540,9,Better,1
374,27,No,Research & Development,1,College,Medical,Very High,Medium,Divorced,3816,1,Better,5
375,28,No,Sales,9,Master,Life Sciences,Medium,Very High,Single,5253,1,Better,7
376,49,No,Research & Development,7,Bachelor,Other,Medium,High,Single,10965,8,Better,5
377,51,No,Sales,14,College,Life Sciences,High,Very High,Married,4936,4,Good,7
378,36,No,Research & Development,2,Bachelor,Life Sciences,Very High,High,Married,2543,4,Better,2
379,34,Yes,Sales,19,Bachelor,Marketing,Low,Very High,Single,5304,8,Good,5
380,55,No,Research & Development,2,Bachelor,Life Sciences,High,Very High,Single,16659,2,Better,5
381,24,No,Sales,10,Master,Marketing,Very High,High,Divorced,4260,1,Best,5
382,30,No,Sales,2,Below College,Technical Degree,High,Medium,Married,2476,1,Better,1
383,26,Yes,Research & Development,3,Below College,Technical Degree,High,Low,Single,3102,0,Better,6
384,22,No,Research & Development,11,Bachelor,Medical,Low,Medium,Married,2244,1,Better,2
385,36,No,Sales,2,College,Medical,Medium,High,Married,7596,1,Better,10
386,30,Yes,Research & Development,4,Bachelor,Technical Degree,High,Very High,Single,2285,9,Better,1
387,37,No,Research & Development,14,Bachelor,Life Sciences,Very High,Low,Divorced,3034,1,Good,18
388,40,No,Sales,2,College,Marketing,Very High,Medium,Divorced,5715,7,Better,5
389,42,No,Research & Development,1,Master,Life Sciences,Medium,Low,Divorced,2576,3,Better,5
390,37,No,Research & Development,10,Master,Life Sciences,High,Medium,Single,4197,2,Good,1
391,43,No,Research & Development,12,Bachelor,Life Sciences,Low,Medium,Divorced,14336,1,Better,25
392,40,No,Research & Development,2,Bachelor,Medical,Medium,High,Married,3448,6,Better,1
393,54,No,Research & Development,5,College,Medical,Low,Low,Married,19406,4,Good,4
394,34,No,Sales,4,Master,Marketing,High,High,Married,6538,9,Better,3
395,31,No,Research & Development,7,College,Medical,Medium,Low,Married,4306,1,Bad,13
396,43,No,Research & Development,21,Bachelor,Medical,Very High,Very High,Married,2258,7,Better,3
397,43,No,Research & Development,8,Master,Other,High,High,Divorced,4522,4,Better,5
398,25,No,Sales,4,College,Life Sciences,Medium,Very High,Single,4487,1,Better,5
399,37,No,Research & Development,25,Doctor,Medical,Medium,High,Married,4449,3,Better,13
400,31,No,Research & Development,1,College,Life Sciences,Very High,Low,Married,2218,1,Better,4
401,39,No,Research & Development,1,Below College,Life Sciences,Medium,High,Divorced,19197,1,Better,21
402,56,No,Sales,6,Bachelor,Life Sciences,High,Low,Married,13212,9,Good,7
403,30,No,Sales,12,Bachelor,Technical Degree,Medium,High,Single,6577,0,Better,5
404,41,No,Sales,1,Bachelor,Marketing,Medium,Low,Married,8392,1,Better,10
405,28,No,Research & Development,17,College,Medical,High,Low,Divorced,4558,1,Better,10
406,25,Yes,Research & Development,3,Bachelor,Medical,Low,Low,Married,4031,5,Better,2
407,52,No,Research & Development,3,Bachelor,Medical,Very High,High,Married,7969,2,Better,5
408,45,No,Research & Development,10,College,Life Sciences,Low,Very High,Married,2654,3,Good,2
409,52,No,Research & Development,4,College,Life Sciences,Very High,Very High,Married,16555,2,Bad,5
410,42,No,Research & Development,29,College,Life Sciences,Low,High,Divorced,4556,2,Better,5
411,30,No,Research & Development,2,Bachelor,Life Sciences,High,Very High,Single,6091,2,Better,5
412,60,No,Research & Development,7,Bachelor,Life Sciences,Low,Low,Married,19566,5,Bad,29
413,46,No,Research & Development,18,Bachelor,Medical,High,High,Divorced,4810,2,Good,10
414,42,No,Research & Development,28,Master,Technical Degree,Very High,Very High,Married,4523,0,Best,6
415,24,Yes,Sales,1,Below College,Technical Degree,Low,Medium,Single,3202,1,Better,5
416,34,Yes,Sales,6,College,Marketing,Very High,High,Divorced,2351,0,Good,2
417,38,No,Research & Development,2,College,Life Sciences,Very High,Very High,Married,1702,1,Better,1
418,40,No,Sales,2,Master,Life Sciences,High,High,Married,18041,0,Better,20
419,26,No,Research & Development,23,Bachelor,Life Sciences,Low,Very High,Divorced,2886,1,Bad,3
420,30,No,Research & Development,3,Bachelor,Life Sciences,High,Very High,Married,2097,4,Bad,5
421,29,No,Research & Development,3,Master,Medical,Medium,High,Married,11935,1,Better,10
422,29,Yes,Research & Development,25,Doctor,Technical Degree,High,Medium,Married,2546,5,Best,2
423,19,Yes,Human Resources,2,College,Technical Degree,Low,Very High,Single,2564,1,Best,1
424,30,No,Sales,22,Master,Other,High,Low,Married,8412,0,Better,9
425,57,No,Sales,29,Bachelor,Marketing,Low,Very High,Divorced,14118,3,Good,1
426,50,No,Research & Development,29,Master,Life Sciences,Medium,High,Married,17046,0,Better,27
427,30,No,Research & Development,2,Bachelor,Medical,High,Very High,Single,2564,0,Good,11
428,60,No,Sales,28,Bachelor,Marketing,High,Low,Married,10266,4,Best,18
429,47,No,Research & Development,2,College,Medical,Low,Very High,Divorced,5070,5,Better,5
430,46,No,Research & Development,2,Bachelor,Life Sciences,Low,High,Married,17861,6,Bad,3
431,35,No,Research & Development,22,Bachelor,Life Sciences,Very High,High,Single,4230,0,Better,5
432,54,No,Research & Development,8,Master,Life Sciences,High,High,Single,3780,7,Better,1
433,34,No,Research & Development,2,Master,Life Sciences,Very High,High,Divorced,2768,3,Better,7
434,46,No,Sales,10,Bachelor,Marketing,High,Very High,Married,9071,2,Better,3
435,31,No,Research & Development,9,Below College,Life Sciences,High,Medium,Divorced,10648,1,Best,13
436,33,Yes,Research & Development,15,Below College,Medical,Medium,High,Married,13610,7,Best,7
437,33,Yes,Research & Development,10,Below College,Medical,Low,Very High,Divorced,3408,7,Better,4
438,30,No,Sales,7,Below College,Marketing,Very High,Medium,Single,2983,0,Better,3
439,35,No,Research & Development,16,Bachelor,Life Sciences,Very High,High,Married,7632,4,Better,8
440,31,Yes,Research & Development,20,Bachelor,Life Sciences,Low,High,Married,9824,3,Better,1
441,34,Yes,Human Resources,23,Bachelor,Human Resources,Medium,Low,Divorced,9950,9,Better,3
442,42,No,Research & Development,5,College,Other,Medium,High,Married,2093,4,Better,2
443,36,No,Sales,10,Master,Medical,Medium,Very High,Single,9980,1,Good,10
444,22,Yes,Research & Development,4,Below College,Technical Degree,High,High,Single,3894,5,Better,2
445,48,No,Sales,2,Doctor,Marketing,Medium,Very High,Married,4051,2,Better,9
446,55,No,Sales,18,Doctor,Life Sciences,Low,Medium,Single,16835,3,Better,10
447,41,No,Sales,10,College,Life Sciences,Very High,Very High,Single,6230,7,Better,14
448,35,No,Sales,1,Bachelor,Marketing,Medium,High,Married,4717,9,Better,11
449,40,No,Research & Development,6,Bachelor,Life Sciences,Medium,High,Single,13237,7,Better,20
450,39,No,Research & Development,8,Below College,Life Sciences,High,High,Married,3755,1,Better,8
451,31,No,Sales,2,Below College,Life Sciences,Medium,Very High,Single,6582,4,Best,6
452,42,No,Research & Development,24,Bachelor,Medical,Very High,Low,Married,7406,1,Good,10
453,45,No,Sales,2,Bachelor,Other,Very High,Medium,Married,4805,0,Best,8
454,26,Yes,Human Resources,17,Master,Life Sciences,Medium,High,Divorced,2741,0,Good,7
455,29,No,Research & Development,19,Bachelor,Technical Degree,Very High,Very High,Divorced,4262,4,Best,3
456,33,No,Research & Development,1,Doctor,Medical,Low,High,Divorced,16184,4,Better,6
457,31,No,Sales,7,Bachelor,Life Sciences,High,Very High,Divorced,11557,9,Good,5
458,18,Yes,Sales,5,Bachelor,Marketing,Medium,Medium,Single,1878,1,Better,0
459,40,No,Sales,28,Bachelor,Other,High,Low,Divorced,10932,3,Better,1
460,41,No,Research & Development,2,Master,Other,Low,High,Single,6811,2,Better,8
461,26,No,Sales,29,College,Medical,Low,High,Divorced,4306,5,Better,0
462,35,No,Sales,1,Bachelor,Medical,Low,High,Single,4859,1,Better,5
463,34,No,Sales,21,Master,Life Sciences,Very High,Very High,Single,5337,1,Better,10
464,26,Yes,Research & Development,24,Bachelor,Technical Degree,High,Very High,Single,2340,1,Bad,1
465,37,No,Research & Development,1,Bachelor,Technical Degree,Medium,Very High,Single,7491,4,Best,6
466,46,No,Research & Development,18,Below College,Medical,Low,High,Married,10527,5,Good,2
467,41,No,Sales,2,Doctor,Life Sciences,Medium,Low,Married,16595,7,Better,18
468,37,No,Sales,9,Master,Medical,Low,Medium,Divorced,8834,1,Better,9
469,52,No,Research & Development,6,College,Technical Degree,Very High,Low,Divorced,5577,3,Better,10
470,32,Yes,Sales,11,Master,Other,Very High,High,Married,4707,8,Better,4
471,24,No,Sales,24,Bachelor,Medical,Very High,Very High,Married,2400,0,Better,2
472,38,No,Research & Development,10,Bachelor,Medical,High,High,Married,9824,3,Better,1
473,37,No,Research & Development,1,Master,Life Sciences,Medium,Medium,Married,6447,6,Good,6
474,49,No,Research & Development,18,Master,Life Sciences,Very High,High,Divorced,19502,1,Better,31
475,24,No,Research & Development,23,Bachelor,Medical,Medium,Very High,Married,2725,1,Better,6
476,26,No,Sales,28,College,Marketing,Low,Medium,Married,6272,1,Best,5
477,24,No,Research & Development,17,College,Other,Very High,Medium,Married,2127,1,Better,1
478,50,No,Human Resources,3,Bachelor,Medical,Low,Medium,Married,18200,1,Better,32
479,25,No,Sales,13,Below College,Medical,Medium,High,Married,2096,1,Better,7
480,24,Yes,Research & Development,7,Bachelor,Life Sciences,Low,High,Married,2886,1,Better,6
481,30,Yes,Sales,12,Master,Life Sciences,Medium,Low,Married,2033,1,Best,1
482,34,No,Research & Development,1,College,Life Sciences,Medium,Very High,Married,3622,1,Better,6
483,31,Yes,Sales,13,Master,Medical,Medium,Low,Divorced,4233,2,Bad,3
484,35,No,Research & Development,25,College,Other,Low,Very High,Single,3681,4,Better,3
485,31,No,Sales,6,Master,Medical,Low,Very High,Divorced,5460,4,Best,7
486,27,No,Research & Development,6,Master,Medical,Low,High,Divorced,2187,0,Good,5
487,37,No,Sales,2,Bachelor,Marketing,Very High,High,Married,9602,4,Good,3
488,20,No,Research & Development,1,Bachelor,Life Sciences,Very High,Medium,Single,2836,1,Best,1
489,42,No,Research & Development,2,Master,Life Sciences,High,Very High,Married,4089,1,Better,10
490,43,No,Research & Development,6,Master,Other,Medium,Very High,Divorced,16627,4,Good,1
491,38,No,Research & Development,1,Below College,Life Sciences,High,Low,Single,2619,3,Good,0
492,43,No,Research & Development,9,Doctor,Medical,Very High,High,Divorced,5679,3,Better,8
493,48,No,Research & Development,1,Master,Life Sciences,Very High,Low,Married,15402,7,Bad,3
494,44,No,Human Resources,1,Master,Life Sciences,Low,High,Single,5985,4,Best,2
495,34,No,Sales,14,Bachelor,Technical Degree,High,High,Divorced,2579,1,Better,8
496,27,Yes,Sales,2,Below College,Marketing,High,Low,Divorced,3041,0,Better,4
497,21,No,Sales,22,Below College,Technical Degree,High,High,Single,3447,1,Better,3
498,44,No,Research & Development,3,Master,Other,Very High,Very High,Married,19513,4,Best,2
499,22,No,Research & Development,6,Below College,Medical,Low,High,Married,2773,0,Better,2
500,33,No,Sales,8,Master,Marketing,High,High,Divorced,7104,0,Better,5
501,32,No,Research & Development,9,Master,Life Sciences,Low,Very High,Married,6322,1,Good,6
502,30,No,Research & Development,3,Bachelor,Medical,High,High,Divorced,2083,1,Better,1
503,53,No,Sales,1,Below College,Medical,Very High,Low,Single,8381,7,Best,14
504,34,No,Research & Development,1,Doctor,Life Sciences,Medium,Very High,Married,2691,1,Good,10
505,45,Yes,Sales,26,Master,Life Sciences,Low,Low,Married,4286,2,Better,1
506,26,No,Research & Development,6,Bachelor,Life Sciences,High,Very High,Married,2659,1,Better,3
507,37,No,Research & Development,3,Bachelor,Other,High,High,Married,9434,1,Better,10
508,29,No,Sales,3,College,Medical,Medium,High,Married,5561,1,Good,6
509,35,No,Research & Development,6,Master,Life Sciences,Medium,Very High,Single,6646,1,Better,17
510,33,No,Research & Development,6,Bachelor,Life Sciences,High,Very High,Divorced,7725,3,Bad,13
511,54,No,Human Resources,19,Master,Medical,High,Medium,Married,10725,2,Best,9
512,36,No,Research & Development,9,College,Medical,Medium,Medium,Divorced,8847,2,Better,3
513,27,No,Research & Development,3,Master,Medical,Low,Very High,Single,2045,0,Better,4
514,20,Yes,Research & Development,10,Below College,Medical,Very High,High,Single,1009,1,Better,1
515,33,Yes,Research & Development,3,Bachelor,Life Sciences,Low,Low,Single,3348,1,Better,10
516,35,No,Research & Development,3,Bachelor,Life Sciences,High,High,Married,1281,1,Better,1
517,23,No,Research & Development,4,Bachelor,Medical,Low,Low,Married,2819,2,Best,3
518,25,No,Sales,8,Bachelor,Life Sciences,Very High,Medium,Married,4851,0,Better,3
519,38,No,Sales,7,Master,Marketing,Very High,Very High,Single,4028,0,Better,7
520,29,No,Research & Development,1,Master,Life Sciences,Medium,Very High,Divorced,2720,1,Better,10
521,48,No,Sales,2,Below College,Marketing,Medium,Medium,Married,8120,3,Better,2
522,27,No,Sales,3,Below College,Medical,Very High,Very High,Divorced,4647,1,Better,6
523,37,No,Research & Development,10,College,Life Sciences,Very High,Very High,Single,4680,3,Better,1
524,50,No,Research & Development,28,Below College,Medical,Very High,High,Married,3221,1,Better,20
525,34,No,Research & Development,9,Bachelor,Medical,Very High,Medium,Single,8621,1,Best,8
526,24,Yes,Sales,3,College,Life Sciences,Low,High,Single,4577,9,Better,2
527,39,No,Research & Development,2,Master,Technical Degree,Very High,High,Single,4553,1,Better,20
528,32,No,Sales,10,Bachelor,Marketing,Very High,Very High,Single,5396,1,Good,10
529,50,Yes,Sales,8,College,Technical Degree,Medium,High,Married,6796,3,Better,4
530,38,No,Research & Development,1,Master,Life Sciences,Medium,Very High,Single,7625,0,Good,9
531,27,No,Research & Development,1,College,Life Sciences,High,Low,Married,7412,1,Better,9
532,32,No,Research & Development,3,College,Life Sciences,High,Very High,Single,11159,3,Better,7
533,47,No,Sales,14,Master,Marketing,Very High,Low,Single,4960,2,Better,7
534,40,No,Sales,5,Master,Life Sciences,Very High,Low,Married,10475,5,Better,18
535,53,No,Research & Development,7,Bachelor,Life Sciences,High,High,Married,14814,3,Better,5
536,41,No,Human Resources,10,Master,Human Resources,Medium,Very High,Divorced,19141,3,Good,21
537,60,No,Sales,16,Master,Marketing,Low,Low,Single,5405,8,Better,2
538,27,No,Research & Development,10,College,Life Sciences,Very High,Low,Divorced,8793,1,Good,9
539,41,No,Human Resources,1,Bachelor,Human Resources,Very High,High,Married,19189,1,Better,22
540,50,No,Sales,8,Master,Marketing,Very High,Medium,Married,3875,7,Better,2
541,28,Yes,Research & Development,1,College,Life Sciences,Low,Medium,Single,2216,7,Better,7
542,36,No,Research & Development,8,Bachelor,Life Sciences,Low,Low,Married,11713,9,Better,8
543,38,No,Research & Development,1,Bachelor,Life Sciences,High,High,Single,7861,4,Best,1
544,44,No,Research & Development,24,Bachelor,Medical,Low,High,Single,3708,2,Better,5
545,47,No,Sales,3,Bachelor,Medical,Very High,High,Divorced,13770,9,Good,22
546,30,No,Sales,27,Doctor,Marketing,High,Very High,Divorced,5304,7,Good,8
547,29,No,Sales,10,Bachelor,Life Sciences,High,High,Single,2642,1,Better,1
548,42,Yes,Research & Development,19,Bachelor,Medical,High,High,Divorced,2759,6,Better,2
549,43,No,Sales,15,Bachelor,Life Sciences,Very High,Very High,Married,6804,3,Better,2
550,34,No,Research & Development,8,College,Medical,Medium,High,Single,6142,3,Better,5
551,23,No,Research & Development,9,Below College,Medical,Medium,Low,Married,2500,1,Best,4
552,39,No,Human Resources,3,Bachelor,Human Resources,High,Medium,Married,6389,9,Bad,8
553,56,No,Research & Development,9,Bachelor,Medical,High,Very High,Married,11103,7,Good,10
554,40,No,Research & Development,2,Below College,Medical,Very High,Very High,Single,2342,0,Good,4
555,27,No,Research & Development,7,Bachelor,Medical,Very High,Low,Single,6811,8,Bad,7
556,29,No,Sales,10,Bachelor,Marketing,Very High,Medium,Divorced,2297,1,Better,2
557,53,No,Research & Development,6,Bachelor,Life Sciences,Very High,Very High,Single,2450,2,Better,2
558,35,No,Research & Development,2,Master,Life Sciences,Very High,Low,Divorced,5093,2,Best,1
559,32,No,Research & Development,24,Master,Life Sciences,Low,Very High,Married,5309,1,Better,10
560,38,No,Research & Development,2,Doctor,Medical,Very High,High,Married,3057,6,Bad,1
561,34,No,Research & Development,8,Doctor,Life Sciences,Medium,Low,Divorced,5121,3,Better,0
562,52,No,Sales,3,Master,Marketing,High,Low,Married,16856,1,Best,34
563,33,Yes,Research & Development,1,Master,Other,Very High,Very High,Single,2686,1,Good,10
564,25,No,Sales,26,Below College,Medical,High,Very High,Single,6180,1,Good,6
565,45,No,Sales,2,College,Technical Degree,Medium,High,Single,6632,0,Better,8
566,23,No,Research & Development,10,Below College,Medical,Low,High,Single,3505,1,Better,2
567,47,Yes,Sales,27,College,Life Sciences,Medium,High,Single,6397,4,Better,5
568,34,No,Sales,2,Bachelor,Other,Very High,Very High,Single,6274,1,Better,6
569,55,Yes,Research & Development,2,Bachelor,Medical,Very High,Low,Married,19859,5,Better,5
570,36,No,Sales,8,Master,Life Sciences,Low,Low,Single,7587,1,Better,10
571,52,No,Research & Development,19,Master,Medical,Very High,Very High,Married,4258,0,Better,4
572,26,No,Research & Development,1,College,Life Sciences,Low,Very High,Divorced,4364,3,Better,2
573,29,No,Research & Development,27,Bachelor,Medical,Medium,High,Married,4335,4,Good,8
574,26,Yes,Sales,8,Bachelor,Technical Degree,Very High,Low,Single,5326,6,Good,4
575,34,No,Research & Development,1,Master,Life Sciences,Medium,Very High,Single,3280,2,Better,4
576,54,No,Research & Development,19,Master,Medical,Very High,Low,Divorced,5485,9,Better,5
577,27,No,Sales,8,Below College,Marketing,High,Very High,Married,4342,0,Better,4
578,37,No,Research & Development,10,Below College,Life Sciences,Very High,Low,Divorced,2782,0,Good,5
579,38,No,Research & Development,2,Master,Life Sciences,Low,Low,Single,5980,6,Better,15
580,34,No,Research & Development,2,Master,Medical,High,Low,Single,4381,1,Better,6
581,35,No,Sales,8,Master,Life Sciences,Low,Very High,Married,2572,1,Good,3
582,30,No,Research & Development,1,Bachelor,Life Sciences,Very High,High,Married,3833,3,Better,2
583,40,No,Research & Development,2,College,Medical,High,Medium,Married,4244,1,Better,8
584,34,No,Sales,8,College,Life Sciences,High,Low,Married,6500,5,Better,3
585,42,No,Research & Development,8,Bachelor,Life Sciences,Medium,Very High,Divorced,18430,1,Good,24
586,23,Yes,Research & Development,6,Bachelor,Life Sciences,High,Low,Married,1601,1,Better,0
587,24,No,Research & Development,9,Bachelor,Life Sciences,High,Medium,Divorced,2694,1,Better,1
588,52,No,Research & Development,11,Master,Life Sciences,Very High,High,Married,3149,8,Better,5
589,50,No,Research & Development,2,Bachelor,Medical,High,High,Married,17639,5,Better,4
590,29,Yes,Research & Development,1,College,Life Sciences,Medium,Low,Married,2319,1,Better,1
591,33,No,Research & Development,7,Bachelor,Medical,High,High,Married,11691,0,Best,13
592,33,Yes,Sales,16,Bachelor,Marketing,Low,Low,Single,5324,5,Better,3
593,47,No,Research & Development,2,College,Other,High,Very High,Married,16752,1,Good,26
594,36,No,Research & Development,1,Bachelor,Other,High,Medium,Married,5228,0,Better,9
595,29,No,Research & Development,23,College,Life Sciences,High,High,Married,2700,1,Better,10
596,58,Yes,Research & Development,2,Master,Life Sciences,Very High,Medium,Single,19246,7,Better,31
597,35,No,Research & Development,1,Master,Life Sciences,Very High,High,Single,2506,3,Better,2
598,42,No,Research & Development,1,College,Life Sciences,Very High,Very High,Married,6062,9,Better,4
599,28,Yes,Research & Development,2,Master,Medical,High,High,Single,4382,6,Good,2
600,36,No,Human Resources,13,Bachelor,Human Resources,High,Medium,Married,2143,4,Better,5
601,32,No,Research & Development,4,Bachelor,Life Sciences,High,High,Married,6162,1,Better,14
602,40,No,Research & Development,16,Master,Medical,Low,High,Single,5094,6,Better,1
603,30,No,Research & Development,2,Bachelor,Medical,High,Very High,Single,6877,5,Good,0
604,45,No,Research & Development,2,Bachelor,Life Sciences,Medium,High,Single,2274,1,Better,1
605,42,No,Research & Development,29,Bachelor,Life Sciences,Medium,Medium,Married,4434,1,Good,9
606,38,No,Research & Development,12,Bachelor,Life Sciences,Low,Low,Divorced,6288,2,Good,4
607,34,No,Research & Development,16,Master,Life Sciences,High,Very High,Single,2553,1,Better,5
608,49,Yes,Sales,11,Bachelor,Marketing,High,Very High,Married,7654,1,Best,9
609,55,Yes,Sales,2,Below College,Medical,High,Very High,Single,5160,4,Good,9
610,43,No,Research & Development,14,College,Life Sciences,Medium,Low,Married,17159,6,Better,4
611,27,No,Research & Development,5,Below College,Technical Degree,High,Very High,Divorced,12808,1,Better,9
612,35,No,Research & Development,7,Bachelor,Other,High,High,Single,10221,3,Best,8
613,28,No,Sales,2,Master,Marketing,Medium,Medium,Married,4779,1,Better,8
614,34,No,Human Resources,3,College,Human Resources,High,Very High,Married,3737,0,Bad,3
615,26,Yes,Research & Development,5,College,Medical,High,High,Married,2366,1,Better,8
616,27,No,Research & Development,3,Bachelor,Medical,Very High,Very High,Married,1706,1,Good,0
617,51,No,Sales,26,Master,Marketing,Low,High,Married,16307,2,Good,20
618,44,No,Research & Development,4,Bachelor,Medical,Very High,Medium,Single,5933,9,Good,5
619,25,No,Research & Development,2,Below College,Medical,Low,Low,Single,3424,7,Good,4
620,33,No,Sales,1,Bachelor,Medical,Low,Low,Divorced,4037,1,Better,9
621,35,No,Research & Development,27,Below College,Medical,High,Low,Single,2559,1,Good,6
622,36,No,Sales,1,College,Life Sciences,Medium,Very High,Married,6201,1,Good,18
623,32,No,Sales,13,Master,Life Sciences,Medium,Very High,Divorced,4403,2,Good,5
624,30,No,Research & Development,5,Master,Life Sciences,Medium,Very High,Divorced,3761,9,Good,5
625,53,No,Sales,7,College,Marketing,Low,Very High,Married,10934,7,Better,5
626,45,No,Sales,9,Bachelor,Marketing,Very High,Low,Divorced,10761,4,Better,5
627,32,No,Research & Development,8,College,Medical,High,High,Married,5175,5,Good,5
628,52,No,Research & Development,25,Master,Medical,High,Very High,Married,13826,3,Better,9
629,37,No,Sales,16,Master,Marketing,Very High,High,Divorced,6334,4,Better,1
630,28,No,Human Resources,8,College,Medical,Medium,Very High,Divorced,4936,1,Better,5
631,22,No,Research & Development,1,College,Life Sciences,Very High,Very High,Married,4775,6,Bad,2
632,44,No,Research & Development,8,Master,Life Sciences,Low,Very High,Married,2818,2,Good,3
633,42,No,Research & Development,2,Below College,Medical,Medium,Very High,Single,2515,5,Better,2
634,36,No,Human Resources,8,Bachelor,Life Sciences,Low,Low,Married,2342,0,Better,5
635,25,No,Sales,3,Below College,Other,High,Low,Married,4194,1,Better,5
636,35,No,Research & Development,9,Bachelor,Life Sciences,Very High,High,Married,10685,1,Better,17
637,35,Yes,Research & Development,25,Master,Life Sciences,Very High,Medium,Divorced,2022,1,Good,10
638,32,No,Research & Development,1,Bachelor,Life Sciences,Very High,Very High,Divorced,2314,0,Better,3
639,25,No,Sales,4,Below College,Marketing,High,Low,Married,4256,1,Best,5
